Date / Time,CPU Usage %,Temperature C
2022-05-10 23:25:13.863892,0.5,55.8
2022-05-10 23:25:24.099881,0.4,55.3
2022-05-10 23:25:34.452713,0.7,55.8
2022-05-10 23:25:44.675516,0.5,55.8
2022-05-10 23:25:54.923896,0.4,54.8
2022-05-10 23:26:05.168383,0.5,54.8
2022-05-10 23:26:15.412192,0.5,55.8
2022-05-10 23:26:25.744456,0.4,55.3
2022-05-10 23:26:36.008465,0.5,54.8
2022-05-10 23:26:46.227072,0.4,55.3
2022-05-10 23:26:56.495551,0.4,55.8
2022-05-10 23:27:06.722898,4.8,55.8
2022-05-10 23:27:16.953567,0.4,55.8
2022-05-10 23:27:27.184920,0.3,55.8
2022-05-10 23:27:37.430159,0.6,55.8
2022-05-10 23:27:47.659113,0.4,55.3
2022-05-10 23:27:57.987717,0.4,55.3
2022-05-10 23:28:08.235713,0.5,55.3
2022-05-10 23:28:18.486360,0.5,55.3
2022-05-10 23:28:28.711122,0.5,55.8
2022-05-10 23:28:39.141319,0.4,55.3
2022-05-10 23:28:49.385713,0.6,55.3
2022-05-10 23:28:59.633946,0.4,55.8
2022-05-10 23:29:09.889403,0.3,55.8
2022-05-10 23:29:20.329197,0.4,55.8
2022-05-10 23:29:30.553231,0.4,55.3
2022-05-10 23:29:40.794825,0.7,55.8
2022-05-10 23:29:51.049041,0.4,55.8
2022-05-10 23:30:01.343226,0.5,56.4
2022-05-10 23:30:11.653100,0.5,56.4
2022-05-10 23:30:21.879868,0.7,56.4
2022-05-10 23:30:32.134633,0.6,56.4
2022-05-10 23:30:42.378141,0.4,56.4
2022-05-10 23:30:52.604817,0.4,56.4
2022-05-10 23:31:02.848817,0.4,56.4
2022-05-10 23:31:13.087375,0.4,55.8
2022-05-10 23:31:23.314214,0.4,55.8
2022-05-10 23:31:33.539536,0.4,55.8
2022-05-10 23:31:44.367221,0.7,56.4
2022-05-10 23:31:54.605020,0.4,55.8
2022-05-10 23:32:05.200118,0.6,55.8
2022-05-10 23:32:15.512600,0.4,55.8
2022-05-10 23:32:25.841236,0.4,55.8
2022-05-10 23:32:36.162603,0.4,55.8
2022-05-10 23:32:46.501450,0.3,55.8
2022-05-10 23:32:56.824668,0.4,55.8
2022-05-10 23:33:07.053798,0.3,55.8
2022-05-10 23:33:17.371967,0.5,55.8
2022-05-10 23:33:27.658226,0.4,55.8
2022-05-10 23:33:37.978168,0.5,55.3
2022-05-10 23:33:48.294017,0.5,55.3
2022-05-10 23:33:58.624845,0.4,55.8
2022-05-10 23:34:08.948506,0.4,55.8
2022-05-10 23:34:19.283424,0.5,55.3
2022-05-10 23:34:29.819783,0.3,55.8
2022-05-10 23:34:40.067292,0.5,55.8
2022-05-10 23:34:50.385722,0.4,55.8
2022-05-10 23:35:00.722463,0.4,55.3
2022-05-10 23:35:11.077856,0.3,55.8
2022-05-10 23:35:21.395679,0.4,55.8
2022-05-10 23:35:31.714430,0.4,55.8
2022-05-10 23:35:42.055716,0.3,55.3
2022-05-10 23:35:52.292696,0.4,55.3
2022-05-10 23:36:02.614034,0.4,55.8
2022-05-10 23:36:12.855112,0.4,55.3
2022-05-10 23:36:23.085151,0.4,55.8
2022-05-10 23:36:33.319847,0.4,54.8
2022-05-10 23:36:43.564056,0.4,55.3
2022-05-10 23:36:53.835976,0.4,54.8
2022-05-10 23:37:04.095738,0.6,55.3
2022-05-10 23:37:14.332332,0.4,55.3
2022-05-10 23:37:24.563699,0.3,55.8
2022-05-10 23:37:34.792968,0.5,55.8
2022-05-10 23:37:45.047653,0.4,55.8
2022-05-10 23:37:55.374274,0.5,54.8
2022-05-10 23:38:05.703299,0.4,54.8
2022-05-10 23:38:16.054067,0.4,54.8
2022-05-10 23:38:26.299749,0.4,54.8
2022-05-10 23:38:36.560728,0.5,54.8
2022-05-10 23:38:46.797509,0.4,55.3
2022-05-10 23:38:57.045669,0.4,54.8
2022-05-10 23:39:07.287621,0.4,55.3
2022-05-10 23:39:17.527543,0.4,55.3
2022-05-10 23:39:27.782462,0.5,55.8
2022-05-10 23:39:38.191062,0.3,54.8
2022-05-10 23:39:48.544267,0.6,54.8
2022-05-10 23:39:58.826056,0.4,54.8
2022-05-10 23:40:09.076479,0.4,55.8
2022-05-10 23:40:19.312750,0.4,55.3
2022-05-10 23:40:29.634548,0.5,55.3
2022-05-10 23:40:39.890605,0.4,55.3
2022-05-10 23:40:50.131510,0.6,55.3
2022-05-10 23:41:00.487241,0.4,54.8
2022-05-10 23:41:10.770561,0.4,55.3
2022-05-10 23:41:21.109805,0.4,55.3
2022-05-10 23:41:31.440064,0.4,55.3
2022-05-10 23:41:41.771964,1,54.8
2022-05-10 23:41:52.013837,0.5,55.3
2022-05-10 23:42:02.370735,0.4,55.3
2022-05-10 23:42:12.649192,0.6,55.8
2022-05-10 23:42:22.896789,2.1,55.8
2022-05-10 23:42:33.143771,2.1,55.8
2022-05-10 23:42:43.394657,1.3,55.8
2022-05-10 23:42:53.657673,0.3,55.8
2022-05-10 23:43:04.000971,0.4,55.8
2022-05-10 23:43:14.243243,0.4,55.8
2022-05-10 23:43:24.493936,0.4,54.8
2022-05-10 23:43:34.744652,0.4,55.8
2022-05-10 23:43:45.032021,0.4,55.3
2022-05-10 23:43:55.276129,0.4,55.8
2022-05-10 23:44:05.503350,0.4,55.8
2022-05-10 23:44:15.762884,0.4,55.8
2022-05-10 23:44:26.035450,0.5,55.8
2022-05-10 23:44:36.638507,0.9,56.4
2022-05-10 23:44:46.985935,9.5,56.9
2022-05-10 23:44:57.222461,10.1,57.5
2022-05-10 23:45:07.498195,9.8,58
2022-05-10 23:45:17.809355,2.5,56.9
2022-05-10 23:45:28.087048,2.6,56.4
2022-05-10 23:45:38.359797,2.5,56.4
2022-05-10 23:45:48.610571,2.5,56.4
2022-05-10 23:45:58.861281,3.4,56.4
2022-05-10 23:46:09.113522,0.7,56.9
2022-05-10 23:46:19.347202,0.6,56.4
